company_id,name,rating,about_company,website,naukari_url
598206,Acodez,N/A,N/A,N/A,https://www.naukri.com/acodez-overview-598206?tab=jobs
385202,Investors Clinic,3.6,N/A,N/A,https://www.naukri.com/investors-clinic-overview-385202?tab=jobs
4612337,Mobiloitte Technologies,3.2,N/A,N/A,https://www.naukri.com/mobiloitte-technologies-overview-4612337?tab=jobs
4669693,Sastasundar,3.5,N/A,N/A,https://www.naukri.com/sastasundar-overview-4669693?tab=jobs
1917094,Gps Renewables,4.0,N/A,N/A,https://www.naukri.com/gps-renewables-overview-1917094?tab=jobs
4612345,Mobineers Info Systems,3.7,N/A,N/A,https://www.naukri.com/mobineers-info-systems-overview-4612345?tab=jobs
4604153,Isha Foundation,4.3,N/A,N/A,https://www.naukri.com/isha-foundation-overview-4604153?tab=jobs
16578,Blue Dart,4.0,N/A,N/A,https://www.naukri.com/blue-dart-overview-16578?tab=jobs
417986,Srijan,3.5,N/A,N/A,https://www.naukri.com/srijan-overview-417986?tab=jobs
4612227,MITCON Consultancy & Engineering Services,3.6,N/A,N/A,https://www.naukri.com/mitcon-consultancy-engineering-services-overview-4612227?tab=jobs
565454,Galgotias,3.1,N/A,N/A,https://www.naukri.com/galgotias-overview-565454?tab=jobs
4620417,Prolim,3.9,N/A,N/A,https://www.naukri.com/prolim-overview-4620417?tab=jobs
4636801,United Biotech,3.8,N/A,N/A,https://www.naukri.com/united-biotech-overview-4636801
295116,Fasur Technologies,N/A,N/A,N/A,https://www.naukri.com/fasur-technologies-overview-295116?tab=jobs
41160,Aneja Associates,3.1,N/A,N/A,https://www.naukri.com/aneja-associates-overview-41160?tab=jobs
4653198,Eduthrill,N/A,N/A,N/A,https://www.naukri.com/eduthrill-overview-4653198?tab=jobs
3408126,Praxcode Technologies,3.1,N/A,N/A,https://www.naukri.com/praxcode-technologies-overview-3408126?tab=jobs
6758573,Solitaire,3.4,N/A,N/A,https://www.naukri.com/solitaire-overview-6758573?tab=jobs
4595851,Fleetx,3.8,N/A,N/A,https://www.naukri.com/fleetx-overview-4595851?tab=jobs
3825908,R3,N/A,N/A,N/A,https://www.naukri.com/r3-overview-3825908?tab=jobs
2892028,Coromandel International,4.1,N/A,N/A,https://www.naukri.com/coromandel-international-overview-2892028?tab=jobs
4595861,FlexTrade,3.4,N/A,N/A,https://www.naukri.com/flextrade-overview-4595861?tab=jobs
4620437,Proman Infrastructure Services,3.5,N/A,N/A,https://www.naukri.com/proman-infrastructure-services-overview-4620437?tab=jobs
2285812,Optisol Business Solutions,4.1,N/A,N/A,https://www.naukri.com/optisol-business-solutions-overview-2285812?tab=jobs
4653200,Rarr Technologies,4.5,N/A,N/A,https://www.naukri.com/rarr-technologies-overview-4653200?tab=jobs
4636829,UPL Limited,4.1,N/A,N/A,https://www.naukri.com/upl-limited-overview-4636829?tab=jobs
1474762,Astreya,3.9,N/A,N/A,https://www.naukri.com/astreya-overview-1474762?tab=jobs
6758585,Cloodon Learning,N/A,N/A,N/A,https://www.naukri.com/cloodon-learning-overview-6758585?tab=jobs
8416,Xicom Technologies,4.2,N/A,N/A,https://www.naukri.com/xicom-technologies-overview-8416?tab=jobs
4628647,Sheetal Cool Products,N/A,N/A,N/A,https://www.naukri.com/sheetal-cool-products-overview-4628647?tab=jobs
4595879,Flexisales Marketing,2.9,N/A,N/A,https://www.naukri.com/flexisales-marketing-overview-4595879?tab=jobs
5898424,VN2 Solutions,N/A,N/A,N/A,https://www.naukri.com/vn2-solutions-overview-5898424?tab=jobs
4726957,Yoctel Solutions,N/A,N/A,N/A,https://www.naukri.com/yoctel-solutions-overview-4726957?tab=jobs
7930001,Gianteagle,3.3,N/A,N/A,https://www.naukri.com/gianteagle-overview-7930001?tab=jobs
1081592,Propertypistol Realty,3.7,N/A,N/A,https://www.naukri.com/propertypistol-realty-overview-1081592?tab=jobs
475374,Bcube Solutions,N/A,N/A,N/A,https://www.naukri.com/bcube-solutions-overview-475374?tab=jobs
4604079,Ionixx Technologies,3.7,N/A,N/A,https://www.naukri.com/ionixx-technologies-overview-4604079?tab=jobs
2572492,e Solutions India,3.4,N/A,N/A,https://www.naukri.com/e-solutions-india-overview-2572492?tab=jobs
4882593,Smartowner Services,4.7,N/A,N/A,https://www.naukri.com/smartowner-services-overview-4882593?tab=jobs
1007842,Venkys,3.8,N/A,N/A,https://www.naukri.com/venkys-overview-1007842?tab=jobs
4661417,Columbia Petro Chem,4.2,N/A,N/A,https://www.naukri.com/columbia-petro-chem-overview-4661417?tab=jobs
1466616,Acuity Software Technologies,N/A,N/A,N/A,https://www.naukri.com/acuity-software-technologies-overview-1466616?tab=jobs
4931749,MBit,3.7,N/A,N/A,https://www.naukri.com/mbit-overview-4931749?tab=jobs
6201521,Petrus Technologies,3.9,N/A,N/A,https://www.naukri.com/petrus-technologies-overview-6201521?tab=jobs
295156,Aecom,4.3,N/A,N/A,https://www.naukri.com/aecom-overview-295156?tab=jobs
164080,Hsbc,4.0,N/A,N/A,https://www.naukri.com/hsbc-overview-164080?tab=jobs
565498,Girnarsoft,3.5,N/A,N/A,https://www.naukri.com/girnarsoft-overview-565498?tab=jobs
4587711,Clarion Technologies,3.6,N/A,N/A,https://www.naukri.com/clarion-technologies-overview-4587711?tab=jobs
6758555,Chapter247 Infotech,N/A,N/A,N/A,https://www.naukri.com/chapter247-infotech-overview-6758555?tab=jobs
4587705,Clariant,4.2,N/A,N/A,https://www.naukri.com/clariant-overview-4587705?tab=jobs
565512,Narayana Health (NH),4.1,N/A,N/A,https://www.naukri.com/narayana-health-nh-overview-565512?tab=jobs
3793210,Gandhi Automations,4.2,N/A,N/A,https://www.naukri.com/gandhi-automations-overview-3793210?tab=jobs
4661569,UTL,3.6,N/A,N/A,https://www.naukri.com/utl-overview-4661569?tab=jobs
41222,Novire Technologies,N/A,N/A,N/A,https://www.naukri.com/novire-technologies-overview-41222?tab=jobs
303372,Shinhan Bank,3.5,N/A,N/A,https://www.naukri.com/shinhan-bank-overview-303372?tab=jobs
4923713,Kohinoor Development,N/A,N/A,N/A,https://www.naukri.com/kohinoor-development-overview-4923713?tab=jobs
631042,Enertia,N/A,N/A,N/A,https://www.naukri.com/enertia-overview-631042?tab=jobs
3227964,Ambc Technologies,N/A,N/A,N/A,https://www.naukri.com/ambc-technologies-overview-3227964?tab=jobs
237838,Bonanza Portfolio,3.6,N/A,N/A,https://www.naukri.com/bonanza-portfolio-overview-237838?tab=jobs
344330,Emdep Group,3.4,N/A,N/A,https://www.naukri.com/emdep-group-overview-344330?tab=jobs
2654520,Applause,N/A,N/A,N/A,https://www.naukri.com/applause-overview-2654520?tab=jobs
172306,ECE Industries,3.3,N/A,N/A,https://www.naukri.com/ece-industries-overview-172306?tab=jobs
4628819,Shivrai Technologies,N/A,N/A,N/A,https://www.naukri.com/shivrai-technologies-overview-4628819?tab=jobs
205076,iMz Media Solutions,4.5,N/A,N/A,https://www.naukri.com/imz-media-solutions-overview-205076?tab=jobs
237850,Cotmac Electronics,3.8,N/A,N/A,https://www.naukri.com/cotmac-electronics-overview-237850?tab=jobs
745748,LakshmiSri,3.5,N/A,N/A,https://www.naukri.com/lakshmisri-overview-745748?tab=jobs
4579681,Ambience Interiors,4.4,N/A,N/A,https://www.naukri.com/ambience-interiors-overview-4579681?tab=jobs
9699763,Triventure Services,4.9,N/A,N/A,https://www.naukri.com/triventure-services-overview-9699763?tab=jobs
4620655,Pulp Strategy,N/A,N/A,N/A,https://www.naukri.com/pulp-strategy-overview-4620655?tab=jobs
3146012,Unison,3.7,N/A,N/A,https://www.naukri.com/unison-overview-3146012?tab=jobs
4923751,Kody Technolab,N/A,N/A,N/A,https://www.naukri.com/kody-technolab-overview-4923751?tab=jobs
4579701,Amchem Products,N/A,N/A,N/A,https://www.naukri.com/amchem-products-overview-4579701?tab=jobs
